rural_or_urban,state_name,district_name,block_tehsil_name,town_municipality_name,village_name,ward_name,serial_number,enumeration_date,water_body_present_sac_data,unique_id,water_body_name,basin_name,sub_basin_name,water_body_type,nature_of_storage,khasra_number,latitude,longitude,water_body_location,ownership,water_body_in_use,water_body_uses_1,water_body_uses_2,water_body_uses_3,cca_water_body,ipc_water_body,not_in_use_reason,water_body_nature,manmade_water_body_type,construction_year,construction_cost,renovation_year,renovation_cost,water_body_presently_under_repair_renovation_restoration,scheme_under_revival_done,scheme_inclusion_year,targeted_completion_year,estimated_cost,targeted_potential_revival,irrigation_potential_revived,associated_with_central_scheme,central_scheme_name,water_throughout_year,number_months,water_spread_area_reference_year,water_spread_area_current_year,minimum_water_spread_area,maximum_water_spread_area,max_depth_water_body_fully_filled,storage_capacity_water_body_original,storage_capacity_water_body_present,filled_up_storage,presence_of_silt,filled_up_storage_space,no_of_town_cities_benefited,no_of_villages_benefited,no_people_benefited_by_water_body,wua_exists,extent_of_area_covered_by_wua,number_of_wua_formed,dip_sip_exists,water_body_encroached,encroachment_assessed,area_encroached_percentage,standalone_or_connected,number_of_connected_water_bodies,captured_in_previous_census,enumerator_name,image_path,created_on,remark
Rural,GOA,South Goa,Canacona,,Chaudi,,1,2026-04-01,No,1/30/552/005935/0924816/0001,sanbatin,,,Ponds,,11/3,15.0073887,74.0507613,Others,Muncipal authority,Yes,Ground water recharge,Irrigation,,500.0,1000.0,,Natural,,,,,,No,,,,,,,No,,No,less than 6 months,100.0,100.0,80.0,100.0,1.5,120.0,40.0,Full,Yes,Filled up every year,1.0,1.0,10.0,No,,,No,No,,,1-Standalone,,No,SUDIN PRABHUGAONKAR,MIC_2554913.jpeg,2026-04-01 17:42:30.422,
Rural,GOA,South Goa,Canacona,,Chaudi,,2,2026-04-06,No,1/30/552/005935/0924816/0002,Bandara sakre vhol,,,Water consv schemes/percolation tanks/check-dams,,"205/3, 52/15",15.0149383,74.0600033,Others,State WRD/State Irrigation,Yes,Irrigation,,,100.0,100.0,,Natural,,,,,,No,,,,,,,No,,No,6-9 months,2000.0,2000.0,500.0,2000.0,1.5,,,,Yes,,1.0,1.0,100.0,No,,,No,No,,,2-Connected,1.0,No,SUDIN PRABHUGAONKAR,MIC_2576616.jpeg,2026-04-06 10:41:48.606,
Rural,GOA,South Goa,Canacona,,Chaudi,,3,2026-04-06,No,1/30/552/005935/0924816/0003,kupat chaudi,,,Ponds,,63/14,15.0077186,74.044222,Others,Muncipal authority,No,,,,,,Siltation,Natural,,,,,,No,,,,,,,No,,Yes,,200.0,200250.0,30.0,300.0,1.0,300.0,60.0,Upto 3/4,Yes,Filled up every year,,,,No,,,No,No,,,1-Standalone,,No,SUDIN PRABHUGAONKAR,MIC_2578198.jpeg,2026-04-06 15:27:41.249,
Rural,GOA,South Goa,Canacona,,Chaudi,,4,2026-04-06,No,1/30/552/005935/0924816/0004,Thorlem shet,,,Ponds,,65/2,15.0076697,74.0421424,Others,Individual,Yes,Irrigation,Ground water recharge,,4647.34,4750.0,,Natural,,,,,,No,,,,,,,No,,Yes,,400.0,400.0,70.0,150.0,3.0,120.0,80.0,Upto 3/4,Yes,Filled up every year,1.0,1.0,10.0,,,,No,No,,,1-Standalone,,No,SUDIN PRABHUGAONKAR,MIC_2578509.jpeg,2026-04-06 16:07:45.497,
Rural,GOA,South Goa,Canacona,,Chaudi,,5,2026-04-06,No,1/30/552/005935/0924816/0005,Petomi bachirk,,,Ponds,,95/15,15.0074794,74.0400086,Others,Other private body,Yes,Other,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,150.0,2000.0,13.0,160.0,220.0,100.0,60.0,Upto 3/4,Yes,Filled up every year,1.0,1.0,8.0,Not Known,,,No,No,,,1-Standalone,,No,SUDIN PRABHUGAONKAR,MIC_2578747.jpeg,2026-04-06 16:39:07.761,
Rural,GOA,South Goa,Canacona,,Chaudi,,6,2026-04-06,No,1/30/552/005935/0924816/0006,Bachirk beluk,,,Ponds,,108/15,15.0054467,74.0392233,Others,Other Govt.Agency,No,,,,,,Dried-up,Natural,,,,,,No,,,,,,,No,,No,less than 6 months,296.0,296.0,0.0,296.0,90.0,90.0,1.0,Upto 1/4,Yes,Filled up every year,1.0,1.0,,Not Known,,,No,No,,,1-Standalone,,No,SUDIN PRABHUGAONKAR,MIC_2579076.jpeg,2026-04-06 17:18:10.338,
Rural,GOA,South Goa,Canacona,,Chaudi,,7,2026-04-06,No,1/30/552/005935/0924816/0007,sal marod,,,Ponds,,154/1,15.0131784,74.0382258,Others,Other Govt.Agency,No,,,,,,Siltation,Natural,,,,,,No,,,,,,,No,,No,6-9 months,120.0,100.0,60.0,100.0,1.0,100.0,30.0,Upto 1/4,No,Filled up every year,1.0,1.0,1.0,Not Known,,,No,No,,,1-Standalone,,No,SUDIN PRABHUGAONKAR,MIC_2579342.jpeg,2026-04-06 18:00:01.884,
Rural,GOA,South Goa,Canacona,,Chaudi,,8,2026-04-06,No,1/30/552/005935/0924816/0008,konio varimio,,,Ponds,,153/3,15.014121,74.0381014,Others,Other Govt.Agency,No,,,,,,Dried-up,Natural,,,,,,No,,,,,,,No,,No,less than 6 months,65.0,1.0,1.0,65.0,1.0,65.0,1.0,Upto 1/4,No,Filled up every year,1.0,1.0,1.0,Not Known,,,No,No,,,1-Standalone,,No,SUDIN PRABHUGAONKAR,MIC_2579676.jpeg,2026-04-06 18:36:01.773,
Rural,GOA,South Goa,Canacona,,Chaudi,,9,2026-04-09,No,1/30/552/005935/0924816/0009,"Depkatali, tale",,,Tank,,116/11,15.0083491,74.0365388,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,244.0,244.0,150.0,244.0,2.5,610.0,375.0,Full,Yes,Filled up every year,1.0,1.0,20.0,No,,,No,No,,,1-Standalone,,No,SUDIN PRABHUGAONKAR,MIC_2593029.jpeg,2026-04-09 12:44:14.944,
Rural,GOA,South Goa,Canacona,,Chaudi,,10,2026-04-09,No,1/30/552/005935/0924816/0010,"Maida tale, nagarcem",,,Tank,,164/9,15.0108533,74.038885,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,380.0,380.0,330.0,380.0,2.5,950.0,700.0,Full,Yes,Filled up every year,1.0,1.0,20.0,No,,,No,No,,,1-Standalone,,No,SUDIN PRABHUGAONKAR,MIC_2593233.jpeg,2026-04-09 13:16:51.201,
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,1,2026-04-07,No,1/30/552/005935/0924820/0001,Girish nagarsekar tank devabag,,,Tank,,175/26,15.0216858,74.0294088,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,20.0,20.0,15.0,20.0,4.0,80.0,60.0,Full,No,Filled up every year,1.0,1.0,50.0,Not Known,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2581206.jpeg,2026-04-07 09:40:23.101,New added
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,2,2026-04-07,No,1/30/552/005935/0924820/0002,"Anand desai, devabag",,,Ponds,,174/9,15.0218234,74.0278874,Others,Other private body,No,,,,,,Dried-up,Natural,,,,,,No,,,,,,,No,,No,6-9 months,20.0,20.0,1.0,20.0,1.0,20.0,1.0,Full,No,Filled up every year,1.0,1.0,10.0,Not Known,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2581256.jpeg,2026-04-07 09:54:45.59,newly added 
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,3,2026-04-07,No,1/30/552/005935/0924820/0003,davabag,,,Ponds,,173/11,15.0208772,74.028579,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,120.0,120.0,100.0,120.0,4.0,360.0,250.0,Full,No,Filled up every year,1.0,1.0,20.0,Not Known,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2581563.jpeg,2026-04-07 10:37:33.575,newly added 
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,4,2026-04-07,No,1/30/552/005935/0924820/0004,Adpem devabag tank 2,,,Tank,,176/2,15.0233083,74.0285933,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,120.0,120.0,100.0,120.0,5.0,600.0,50.0,Full,Yes,Filled up every year,1.0,1.0,20.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2581569.jpeg,2026-04-07 10:38:00.033,newly added 
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,5,2026-04-07,No,1/30/552/005935/0924820/0005,Devabag tank near ground,,,Tank,,166/56,15.0188537,74.029758,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,24.0,24.0,20.0,24.0,3.0,72.0,50.0,Full,Yes,Filled up every year,1.0,1.0,20.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2581864.jpeg,2026-04-07 11:10:58.669,newly added 
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,6,2026-04-07,No,1/30/552/005935/0924820/0006,devabag tank ,,,Tank,,165/6,15.0218122,74.0316413,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,40.0,40.0,35.0,40.0,3.0,120.0,105.0,Full,Yes,Filled up every year,1.0,1.0,50.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2582006.jpeg,2026-04-07 11:25:06.66,newly added 
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,7,2026-04-07,No,1/30/552/005935/0924820/0007,chiche morod tank,,,Tank,,184/8,15.0239461,74.0316781,Others,Other private body,Yes,Irrigation,,,2000.0,3000.0,,Natural,,,,,,No,,,,,,,No,,Yes,,20.0,20.0,15.0,20.0,3.0,60.0,40.0,Full,Yes,Filled up every year,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2582200.jpeg,2026-04-07 11:41:43.844,Newly added 
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,8,2026-04-07,No,1/30/552/005935/0924820/0008,kumti gal tank,,,Tank,,186/2,15.031169,74.0299936,Others,Other private body,Yes,Irrigation,,,9000.0,10000.0,,Natural,,,,,,No,,,,,,,No,,Yes,,64.0,64.0,20.0,64.0,4.0,256.0,80.0,Full,Yes,Filled up every year,1.0,1.0,30.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2582415.jpeg,2026-04-07 12:08:16.725,
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,9,2026-04-07,No,1/30/552/005935/0924820/0009,"Gudi, kumti gal",,,Tank,,188/4,15.0315229,74.029032,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,54.0,54.0,50.0,54.0,5.0,270.0,200.0,Full,Yes,Filled up every year,1.0,1.0,20.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2582636.jpeg,2026-04-07 12:38:14.874,
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,10,2026-04-09,No,1/30/552/005935/0924820/0010,"Gali, Vaigai bandh",,,Tank,,"303/13, 303/3",14.9979918,74.0600251,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,65.0,65.0,40.0,65.0,2.35,152.0,94.0,Full,Yes,Filled up every year,1.0,1.0,20.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2592148.jpeg,2026-04-09 10:09:14.561,
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,11,2026-04-09,No,1/30/552/005935/0924820/0011,"Gali, delem, marod",,,Ponds,,301/1,14.9974683,74.0621867,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,44.0,44.0,20.0,44.0,1.07,47.0,21.0,Full,Yes,Filled up every year,1.0,1.0,15.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2592226.jpeg,2026-04-09 10:27:53.932,
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,12,2026-04-09,No,1/30/552/005935/0924820/0012,"Delem,  sakle delem tank",,,Tank,,298/3,14.9996911,74.0628054,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,49.0,49.0,36.0,49.0,3.5,172.0,90.0,Full,Yes,Filled up every year,1.0,1.0,20.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2592294.jpeg,2026-04-09 10:43:24.938,newly added 
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,13,2026-04-09,No,1/30/552/005935/0924820/0013,"pansulem, colmot pond",,,Ponds,,47/16,15.0030667,74.04523,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,147.0,147.0,100.0,147.0,1.07,157.0,107.0,Full,Yes,Filled up every year,1.0,1.0,20.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2592465.jpeg,2026-04-09 11:10:51.727,
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,14,2026-04-09,No,1/30/552/005935/0924820/0014,"babies, Vaigat,  pansulem",,,Ponds,,24/4,14.99511,74.044985,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,87.0,87.0,30.0,87.0,1.0,87.0,30.0,Full,Yes,Filled up every year,1.0,1.0,15.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2592573.jpeg,2026-04-09 11:28:46.829,
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,15,2026-04-09,No,1/30/552/005935/0924820/0015,"Babrem, pond",,,Ponds,,22/49,14.9958317,74.0466817,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,106.0,106.0,80.0,106.0,1.5,159.0,120.0,Full,Yes,Filled up every year,1.0,1.0,10.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2592644.jpeg,2026-04-09 11:43:04.0,
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,16,2026-04-09,No,1/30/552/005935/0924820/0016,"Kindlem, Amansia,  bag",,,Ponds,,"5/39, 5/40",14.9917563,74.051351,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,No,6-9 months,36.0,36.0,1.0,36.0,1.0,36.0,1.0,Full,Yes,Filled up every year,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2592756.jpeg,2026-04-09 12:03:11.627,
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,17,2026-04-09,No,1/30/552/005935/0924820/0017,"Padekar, near mollema hotel",,,Ponds,,20/9,14.993705,74.04589,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,330.0,330.0,100.0,330.0,1.5,495.0,15.0,Full,Yes,Filled up every year,1.0,1.0,10.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2592886.jpeg,2026-04-09 12:22:39.764,
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,18,2026-04-09,No,1/30/552/005935/0924820/0018,"Bandya, bondy tollem,  pollem",,,Ponds,,264/5,14.9244783,74.0867417,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,325.0,325.0,150.0,325.0,2.0,650.0,300.0,Full,Yes,Filled up every year,1.0,1.0,10.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2594488.jpeg,2026-04-09 16:15:58.826,
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,19,2026-04-20,No,1/30/552/005935/0924820/0019,Ranche mol,,,Ponds,,123/1,15.0181033,74.0164533,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,50.0,50.0,20.0,50.0,3.0,150.0,80.0,Full,Yes,Filled up every year,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2632330.jpeg,2026-04-20 10:33:57.625,
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,20,2026-04-20,No,1/30/552/005935/0924820/0020,swami bandhara,,,Water consv schemes/percolation tanks/check-dams,,127,15.0174866,74.018555,Others,Other private body,Yes,,Other,,,,,Man-made,Concrete,1995.0,100000.0,,,No,,,,,,,No,,Yes,,1000.0,1000.0,500.0,1000.0,2.0,,,,Yes,,1.0,1.0,50.0,No,,,No,No,,,2-Connected,1.0,No,VISHAL LOLAYEKAR,MIC_2632417.jpeg,2026-04-20 10:53:18.671,
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,21,2026-04-26,No,1/30/552/005935/0924820/0021,Dixit bandhara,,,Water consv schemes/percolation tanks/check-dams,,166/5,15.0227777,74.0303566,Others,Other private body,Yes,Ground water recharge,,,,,,Man-made,Concrete,2009.0,100000.0,,,No,,,,,,,No,,Yes,,1000.0,1000.0,500.0,1000.0,1.8,,,,Yes,,1.0,1.0,50.0,No,,,No,No,,,2-Connected,1.0,No,VISHAL LOLAYEKAR,MIC_2658133.jpeg,2026-04-26 10:20:42.136,bandhara
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,22,2026-04-26,No,1/30/552/005935/0924820/0022,adpem,,,Tank,,183/2,15.0249141,74.0289661,Others,Other private body,Yes,Ground water recharge,,,,,,Man-made,Earthen,1985.0,10000.0,,,No,,,,,,,No,,Yes,,75.0,75.0,40.0,75.0,3.0,225.0,80.0,Full,Yes,Filled up every year,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2658135.jpeg,2026-04-26 10:20:55.185,
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,23,2026-04-26,No,1/30/552/005935/0924820/0023,manas,,,Ponds,,167/2,15.0189509,74.0287288,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,5.0,5.0,3.0,5.0,0.1,0.5,2.0,Full,Yes,Filled up every year,1.0,1.0,1.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2658136.jpeg,2026-04-26 10:21:04.576,pliz check
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,24,2026-04-26,No,1/30/552/005935/0924820/0024,chambra tali,,,Ponds,,148/2,15.0161849,74.0280481,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,150.0,150.0,100.0,150.0,2.0,300.0,200.0,Full,Yes,Filled up every year,1.0,1.0,5.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2658183.jpeg,2026-04-26 10:32:20.415,newly added 
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,25,2026-04-26,No,1/30/552/005935/0924820/0025,"devabag pond, near Rajendra desai home",,,Ponds,,114/4,15.0131003,74.0294992,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,No,6-9 months,40.0,40.0,10.0,40.0,2.0,80.0,1.0,Full,Yes,Filled up every year,1.0,1.0,50.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2658226.jpeg,2026-04-26 10:41:36.614,newly added 
Rural,GOA,South Goa,Canacona,,Nagorcem - Palolem,,26,2026-04-26,No,1/30/552/005935/0924820/0026,palolem tank near school,,,Tank,,143/5,15.0122208,74.0274882,Others,Other private body,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,20.0,20.0,10.0,20.0,3.0,60.0,30.0,Full,Yes,Filled up every year,1.0,1.0,10.0,No,,,No,No,,,1-Standalone,,No,VISHAL LOLAYEKAR,MIC_2673626.jpeg,2026-05-01 08:47:02.962,newly added 
Rural,GOA,South Goa,Quepem,,Xelvona,,1,2026-04-07,No,1/30/552/005937/0626936/0001,,,,Ponds,,23,15.2679494,74.079591,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,17.02,17.02,14.42,21.13,1.07,8750.0,8750.0,Full,No,Filled up every year,1.0,1.0,150.0,No,,,No,No,,,1-Standalone,,No,SARTHAK S NAIK,MIC_2585625.jpeg,2026-04-07 20:15:12.68,
Rural,GOA,South Goa,Quepem,,Cotombi,,1,2026-04-07,Yes,1/30/552/005937/0626938/0001,Cotombi Lake,,,Lakes,,48/0,15.2495628,74.0564733,Tribal,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,12045.0,12045.0,10000.0,12045.0,2.35,30715.0,12045.0,Full,Yes,Filled up every year,1.0,1.0,100.0,Yes,1.0,1.0,No,No,,,1-Standalone,,Yes,PARESH U PARWAR,MIC_2585417.jpeg,2026-04-07 18:56:20.808,
Rural,GOA,South Goa,Quepem,,Cotombi,,2,2026-04-07,No,1/30/552/005937/0626938/0002,khuti mahamaya temple ,,,Tank,,29/1,15.2500403,74.055323,Others,Other private body,Yes,Ground water recharge,Other,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,124.0,124.0,100.0,124.0,3.2,422.0,300.0,Full,Yes,Filled up every year,1.0,1.0,10.0,Yes,1.0,10.0,No,No,,,1-Standalone,,,PARESH U PARWAR,MIC_2585519.jpeg,2026-04-07 19:34:56.82,
Rural,GOA,South Goa,Quepem,,Cotombi,,3,2026-04-15,No,1/30/552/005937/0626938/0003,quarry/mining pit 86/1,,,Others,quarry/mining pit,86/1,15.2366809,74.0676042,Tribal,Other private body,Yes,Ground water recharge,,,,,,Man-made,Earthen,1980.0,200000.0,,,No,,,,,,,No,,Yes,,7869.0,7869.0,5000.0,7869.0,6.18,,,,Yes,,1.0,20.0,20.0,No,,,No,No,,,1-Standalone,,No,PARESH U PARWAR,MIC_2614954.jpeg,2026-04-15 14:04:02.041,
Rural,GOA,South Goa,Quepem,,Cotombi,,4,2026-04-17,No,1/30/552/005937/0626938/0004,quarry/mining pit thorly gall,,,Others,,109/7,15.2423847,74.0592543,Tribal,Other private body,Yes,Ground water recharge,,,,,,Man-made,Earthen,1989.0,200000.0,,,No,,,,,,,No,,Yes,,747.0,500.0,747.0,900.0,,,,,No,,1.0,1.0,10.0,No,,,No,No,,,1-Standalone,,No,PARESH U PARWAR,MIC_2621463.jpeg,2026-04-17 10:17:33.483,
Rural,GOA,South Goa,Quepem,,Avedem,,1,2026-04-07,No,1/30/552/005937/0626939/0001,Pond at Gaonker wada,,,Ponds,,16/6,15.2354543,74.050495,Tribal,Other private body,No,,,,,,Dried-up,Natural,,,,,,No,,,,,,,No,,No,less than 6 months,586.0,586.0,200.0,586.0,1.07,747.0,586.0,Full,Yes,Filled up every year,1.0,1.0,300.0,No,,,No,No,,,1-Standalone,,No,REEMA BHAGAT,MIC_2585671.jpeg,2026-04-07 20:47:47.816,
Rural,GOA,South Goa,Quepem,,Avedem,,2,2026-04-09,Yes,1/30/552/005937/0626939/0002,Bandara behind Chamundeshwari temple,,,Water consv schemes/percolation tanks/check-dams,,1/1,15.2278471,74.0538658,Tribal,State WRD/State Irrigation,No,,,,,,Others,Man-made,Masonary,2007.0,1015000.0,,,No,,,,,,,No,,Yes,,2223.0,2223.0,1167.0,2223.0,2.0,,,,Yes,,,,,Yes,1.0,1.0,Yes,No,,,1-Standalone,,Yes,REEMA BHAGAT,MIC_2595026.jpeg,2026-04-09 17:25:03.148,
Rural,GOA,South Goa,Quepem,,Undorna,,1,2026-04-17,No,1/30/552/005937/0626944/0001,Karmal Deva kodil mol Mining pit,,,Others,mining pit,25/2,15.186998328623924,74.16856907308102,Others,Other private body,No,,,,,,Others,Man-made,Earthen,1970.0,0.0,,,No,,,,,,,No,,Yes,,8000.0,8000.0,4000.0,8000.0,10.0,,,,Yes,,1.0,1.0,0.0,Not Known,,,No,No,,,1-Standalone,,No,RUPA GAONKAR,MIC_2623533.jpeg,2026-04-17 16:57:54.755,
Rural,GOA,South Goa,Quepem,,Molcopona,,1,2026-04-17,No,1/30/552/005937/0626945/0001,Nalini Farmhouse Ranshet ,,,Tank,,15/3,15.182266099999998,74.14588359999999,Others,Individual,Yes,Irrigation,,,5000.0,6000.0,,Man-made,Earthen,1985.0,2000.0,,,No,,,,,,,No,,No,less than 6 months,25.0,20.0,15.0,25.0,,50.0,10.0,Upto 1/4,Yes,Rarely filled up,1.0,1.0,5.0,,,,No,No,,,1-Standalone,,No,RUPA GAONKAR,MIC_2623524.jpeg,2026-04-17 16:56:53.966,
Rural,GOA,South Goa,Quepem,,Molcopona,,2,2026-04-17,No,1/30/552/005937/0626945/0002,Ranshet,,,Tank,,24/1,15.18339,74.14751,Others,Individual,Yes,Irrigation,,,5000.0,6000.0,,Man-made,Masonary,2000.0,20000.0,,,No,,,,,,,No,,Yes,,20.0,15.0,15.0,20.0,2.5,175.0,170.0,Full,Yes,Filled up every year,1.0,1.0,5.0,,,,No,No,,,1-Standalone,,No,RUPA GAONKAR,MIC_2623544.jpeg,2026-04-17 16:59:33.04,
Rural,GOA,South Goa,Quepem,,Molcopona,,3,2026-04-04,No,1/30/552/005937/0626945/0003,Ghogya Moll,,,Tank,,20/1,15.18553,74.14717,Others,Individual,No,,,,,,Siltation,Man-made,Earthen,1995.0,5000.0,,,No,,,,,,,No,,Yes,,30.0,30.0,20.0,30.0,2.3,76.0,70.0,Upto 1/2,Yes,Filled up every year,1.0,1.0,0.0,,,,No,No,,,1-Standalone,,No,RUPA GAONKAR,MIC_2623546.jpeg,2026-04-17 16:59:44.668,
Rural,GOA,South Goa,Quepem,,Molcopona,,4,2026-04-17,,1/30/552/005937/0626945/0004,Ghogya Moll,,,Tank,,20/1,15.1856,74.14678,Others,Individual,Yes,Irrigation,,,5000.0,6000.0,,Man-made,Earthen,1985.0,20000.0,,,No,,,,,,,No,,Yes,,100.0,100.0,80.0,100.0,2.3,75.0,75.0,Full,Yes,Filled up every year,1.0,1.0,5.0,,,,No,No,,,1-Standalone,,No,RUPA GAONKAR,MIC_2623548.jpeg,2026-04-17 17:00:32.301,
Rural,GOA,South Goa,Quepem,,Molcornem,,1,2026-04-02,No,1/30/552/005937/0626946/0001,,,,Tank,,66/10,15.1940476,74.1324431,Others,Individual,Yes,Irrigation,,,12000.0,13000.0,,Man-made,Masonary,2014.0,250000.0,,,No,,,,,,,No,,Yes,,28.0,28.0,20.0,28.0,2.0,56.0,50.0,Upto 3/4,No,Usually filled up,1.0,1.0,40.0,,,,No,No,,,1-Standalone,,No,PANKAJ SAMANT,MIC_2556860.jpeg,2026-04-02 10:22:32.498,
Rural,GOA,South Goa,Quepem,,Molcornem,,2,2026-04-08,No,1/30/552/005937/0626946/0002,"Morod , Razambo",,,Tank,,136/1,15.1842061,74.1195554,Others,Individual,Yes,Irrigation,Ground water recharge,,5000.0,7000.0,,Natural,,,,,,No,,,,,,,No,,Yes,,68.5,68.5,30.0,68.5,1.0,68.5,30.0,Full,No,Filled up every year,1.0,1.0,50.0,,,,No,No,,,1-Standalone,,No,PANKAJ SAMANT,MIC_2587059.jpeg,2026-04-08 10:11:42.767,
